"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"1996";347413;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"1997";347715;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"1998";347596;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"1999";354551;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2000";356119;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2001";355407;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2002";354910;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2003";354796;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2004";354453;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2005";354068;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2006";353739;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2007";353922;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2008";353006;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2009";352889;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2010";353653;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2011";354219;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2012";353283;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2013";353624;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2014";355242;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2015";354954;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2016";357097;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2017";358138;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2018";359865;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2019";363487;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2020";373892;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2021";374815;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"1995";29669;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"1996";29031;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"1997";29340;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"1998";29573;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"1999";32250;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2000";31372;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2001";29617;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2002";27868;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2003";26746;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2004";25493;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2005";24134;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2006";23149;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2007";22625;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2008";21213;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2009";20226;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2010";19522;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2011";17119;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2012";16747;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2013";16310;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2014";15852;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2015";15584;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2016";15437;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2017";15288;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2018";15171;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2019";15634;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2020";13970;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"15-19";"mężczyźni";"2021";14210;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"mężczyźni";"1995";34630;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"mężczyźni";"1996";33679;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"mężczyźni";"1997";35372;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"20-24";"mężczyźni";"1998";36052;"osoba";"";
